Age;AgeSquare;Genre;Children;Education;Country;City;Employment;Position;Work_culture;Floor;Sharing;Work_activity;Thermal;Profile;Top_energy;Organisation_energy;Barriers;Intentions;Confidence;How_often;Temperature_winter;Temperature_summer;Lighting_workplace;Consensus;Stairs_elevator;printing_avoid;printing_delay;Efficient_mode;Switchoff_stop;Switchoff_breaks;Sacrifice_winter;Wear_dress;Wear_casual;Open_windows;Influenceness;Susceptibility;Initiative_join;Publicsocialrecognition;personalpraiseprivately;Themajorityofyourpeerssupportenergyefficientbehaviour;Youreceiveenergyrelatedinformationinasimpleandaestheticallyappea;Improvementofyourenergyperformanceentitlesyoutoextraperkse.g.fle;Yourteamcelebratesenergysavingsachievedcollectively;Youareabletogetinformationaboutthepeoplebehindenergyrelateddatac;Youareassistedinsettingmeetingandreviewingyourownpersonalenergys;Yourtopmanagersarealsocommittedtosaveenergy;Youcantrackyourownenergyperformanceinrealtimeandhistorically;Theoverallenergysavinggoalsarebrokendownintosmallereasilyachieva;Thefeasibilityoftheproposedenergysavingshavebeenverifiedinotherb;Theenergyrelatedinformationistailoredtoyouandyouareabletoselfcon;Informationontheactualeffectthatyourpotentialactionsmayhaveupont;Comparativeassessmentofyouractualenergyperformancecomparedtobenc;Comparativeassessmentofyourenergysavingperformancewiththerespect;Historicalcomparisonofyourenergyperformanceandorconsumption;Tipsorsuggestionsontheenergysavingpracticeofthedayweek;Progresstipsandlessonslearnedonspecificenergysavingactionsperfor;Adviceandquotesfromenergyexpertsincludingexternalenergyconsultan;Adviceandquotesfromenergyexpertsincludingexternalenergyconsult_A;Frequency;Response_signs;Social_Recognition;Self_monitoring;Suggestions;Appraisal;Peer_Pressure;Rewards;Convenience_Flexibility;Trust_Validity;Self_assessment
2.916876293;9.027036951;1.861295029;1.090220355;4.808046577;1.921223134;6.200066324;0.830064465;1.2425716;1.801648038;2.777073862;1.819859698;4.783659029;3.220298877;2.09468866;#VALUE!;3.2098126;3.978807625;2.011380825;1.213110573;0.793194201;1.787528321;2.042764849;1.189828479;4.070000709;2.242257395;3.958682261;5.124336782;4.162554232;3.879134659;3.863602489;2.119949498;3.831414145;2.055392493;3.821974997;3.86406824;1.99916638;1.179650568;2.122265295;1.822637402;2.174834905;0.985215398;1.229612615;0.879760247;2.825846964;2.211263349;0.893482757;1.149986272;1.955765449;2.211281802;1.976961188;4.140703149;5.215794149;4.768078754;3.847129923;5.036074141;4.767446277;4.226410288;2.94208135;3.981885124;3.858078367;2.155734019;3.220351371;4.954660189;1.996397604;3.14279501;0.853632062;1.976068716;2.895809795;3.873207159
2.981741226;9.114000686;0.923887209;1.022470493;4.102358374;1.754111773;6.125410233;0.798202604;0.862081623;1.118037972;1.941562919;1.900586912;4.902429669;4.139957383;1.830520551;#VALUE!;3.065331575;2.164793152;2.080828165;1.148576448;0.816894586;2.019671876;2.049524149;0.936461648;2.772737477;4.169351585;4.192338362;4.039446041;1.114963453;1.983276549;0.930327336;2.061080926;3.945315269;3.935048734;4.161909019;4.205453307;0.950969709;0.878782513;3.223564772;3.032173512;3.140979369;2.041436781;1.085013175;3.214836418;3.054708838;1.906771242;2.043313688;1.911578254;1.906340935;1.983484775;2.183678659;5.209297698;4.827382823;3.779754853;4.769370041;4.990161883;3.781159673;4.039304941;4.02132679;4.009523668;5.158869754;3.070530251;3.869099253;5.200036023;2.978824187;2.886275915;0.899993913;3.085336361;3.13910438;4.248637994
2.982974629;8.846301695;2.106122956;0.791879097;3.005008497;1.765567744;6.206592643;1.112037198;0.792789648;0.873133888;1.809004449;2.239563443;5.01686001;4.131804675;5.758940341;#VALUE!;2.962370277;3.045370189;2.089712901;0.806858519;0.810641954;1.985428254;1.99984052;1.035196617;3.890575096;3.959380674;3.929598977;3.855566476;2.243165732;2.233241457;1.080813622;3.089205092;3.855559545;3.952395139;3.928637637;4.160294541;0.863534294;0.813022447;2.945681627;3.135816379;3.131744423;2.242485609;1.82359218;3.099819;3.214252804;1.836032733;2.757252733;1.86428233;3.040422815;1.880105548;1.751697662;4.061229698;3.876321155;4.062269934;4.157715168;4.199652495;4.21777159;3.85438057;3.782377648;3.092319049;4.056975208;2.852984074;3.162801977;3.891220231;2.802009245;2.807731819;1.832110899;3.048467627;2.815915395;3.778515387
2.823045165;8.865544786;0.816735992;0.085678572;2.883746377;1.999778136;5.945874613;0.812471275;0.765148764;0.804447295;1.806235924;2.233708292;5.023386978;3.062900147;1.955577864;#VALUE!;3.105236572;3.960756317;2.996277012;2.236143494;1.019786894;1.816701531;2.225492242;0.840287898;3.243641783;1.023477;4.196554222;-0.198375896;0.105870232;4.879116311;2.196842846;3.02538716;-0.023767598;-0.178491471;5.05186705;4.245560099;0.830416822;0.807189338;2.90868136;3.108951642;2.194452539;2.182496037;2.24993723;2.214415547;0.913556768;1.206373507;1.935845054;1.248902177;1.833923296;0.776399075;1.792485668;4.220607503;4.238592003;3.765092162;5.070986806;5.133671122;3.864013215;3.778401053;4.157305164;2.025390475;0.000796099;2.797006956;2.966443209;4.750266898;3.243122042;2.801866065;1.886622868;1.934071645;2.785133147;3.809988266
4.072932465;16.16085856;1.851422694;0.907500229;1.909055409;1.871716043;6.180605117;1.193467084;0.879596717;1.013578924;2.052279456;2.234815642;4.964323181;3.161832485;4.890520979;#VALUE!;0.975402519;3.064605602;3.10896665;1.91294974;1.039485878;2.1888252;1.998954747;1.246982299;3.145208927;3.16757168;4.829718902;3.964414977;5.187793661;0.083596918;0.137038758;4.054922865;1.912509041;3.902651913;4.089498895;-0.053610398;0.884164224;0.90927031;-0.107104326;-0.153418274;-0.181748385;2.244132611;0.118684318;0.24588559;-0.114457391;-0.198949303;-0.058883084;0.238740236;0.138381573;-0.227998123;1.954880965;0.061723355;-0.234378739;0.052626016;0.035865396;0.203607395;-0.120011762;0.076193273;1.881630063;5.146436966;3.974723339;0.828578062;1.1650018;0.765195088;0.934918308;0.795148317;0.907170536;1.121211953;1.154928618;1.13386058
3.049888035;9.101049637;1.188609405;0.930169425;4.836117707;1.79358233;6.176325947;0.998793238;1.129319317;3.915321953;2.005052063;1.920612745;4.849109734;1.982509931;1.847391197;#VALUE!;1.995767847;1.912654924;2.859690095;2.20320104;1.117597052;1.895258188;1.825965744;1.226141227;2.798876777;1.864734922;4.931671644;-0.179667562;0.85680256;3.035888393;1.204680666;0.881744848;3.974827101;3.097735051;-0.155636136;2.18473772;1.126616757;0.862387619;1.801250288;1.781162471;1.856140113;1.825680852;0.755259999;0.889816852;2.195037522;2.247079316;0.926806384;0.873272009;0.904517996;2.016558836;0.914249038;4.244407403;4.801150061;4.763954519;4.801769496;5.159080256;4.223573903;4.057311253;3.791891926;3.920797393;5.034795994;2.073121908;3.772209129;5.0336814;1.812880606;2.760447927;1.089871292;1.840955447;3.161332087;3.819026496
1.962542824;4.229232337;1.095044313;2.025113331;2.866493029;1.804867714;5.907059166;0.890808895;1.049393013;1.0860841;1.79611635;2.043569271;4.995596945;4.769599789;3.133001593;#VALUE!;2.901135538;4.058077068;3.128420928;1.956091655;1.07886141;1.777172378;1.756860854;1.917321689;4.173206394;3.952496065;3.751558616;3.816603735;2.934693971;2.813161677;2.829979586;2.987666185;4.134594762;3.160400711;-0.062288211;4.231757993;1.238454404;0.942958034;1.756417267;0.981190949;1.09357152;2.184566363;2.054688749;0.980011444;1.835738212;1.767378912;1.989140505;0.799619316;1.197206892;1.14102551;0.97169697;4.988292979;3.786193884;4.242816207;4.102626805;4.750682414;3.926392764;4.125018365;4.921634235;1.191387391;3.762077988;1.920067277;2.991507128;4.943211823;2.086750132;2.23324999;2.136355505;1.781193564;3.17189418;3.819362083
3.177027595;9.194236997;0.875356138;1.179355289;4.081010557;2.107890362;6.233803479;1.017217119;1.19954121;0.757619042;1.994216506;2.17601968;4.858164462;4.191826603;2.211230534;#VALUE!;1.966796566;1.868669878;3.14033697;2.170965613;1.117481862;1.938024414;2.054967982;2.088484842;1.869474494;2.998553656;3.203308054;-0.246586407;0.997380559;1.088070142;1.241303164;1.202470001;4.007482058;3.795705993;5.214393436;4.249803949;1.844064354;1.002245808;3.057274133;2.93000788;2.968527814;2.840814698;1.796723267;1.820239991;2.989137175;2.240467044;2.944839301;2.804513702;3.220013485;2.992554765;3.143883065;3.914647466;3.049024542;3.170592662;4.063699095;3.942215414;3.236160195;1.844617395;2.929713719;5.076016108;3.750626653;3.154205101;2.796061632;4.245847727;3.004910332;3.086925004;2.073515392;3.026506999;3.037367584;4.237065658
2.969527942;8.900457566;0.965320269;1.226783089;4.889684344;1.767580918;5.785027254;0.930889517;1.125119127;0.789625974;2.08986026;2.049148368;5.070713773;4.798275596;3.150484415;#VALUE!;3.062003737;4.214840107;2.102154916;1.081377158;1.107752529;2.043062803;1.844826131;0.94529616;3.08848694;1.77610617;3.158617449;4.103689888;1.115324612;4.765921841;1.148733016;2.003544251;3.223269053;5.037252933;5.117930116;4.04329124;2.064981828;0.985802894;3.18552478;3.094270091;3.006971862;2.905551322;2.804328516;2.951298208;3.14910235;-0.010681423;3.249033417;2.117866778;1.80343826;2.230931184;1.784951997;3.986313032;3.859234629;3.975534671;5.082240285;3.783351996;4.057902916;4.814035586;3.941747878;1.242595865;4.076556309;2.970148143;3.801240467;4.01761238;3.142292962;3.026275654;2.776176331;1.845768609;4.123724531;3.858575223
4.211291462;16.03506285;1.004798591;1.149854434;3.966936157;1.762574878;6.163138607;1.223623786;1.206551849;0.779090958;1.885335363;1.945025932;4.883210293;3.983885108;2.201906079;#VALUE!;3.032600037;3.754533812;3.187968102;2.234508617;1.192209211;1.939174761;2.042938657;1.001248102;3.778520785;2.159015992;3.791148297;1.8545361;4.140953335;5.007042055;3.977248914;2.935167558;0.024954686;-0.055716798;4.06094712;3.846301952;1.16026329;1.137130013;3.155946722;2.79826527;1.957987478;2.017112513;3.128923951;6.037345862;2.887417844;2.026019215;2.054558899;1.846408934;2.197672904;1.236934394;1.990910763;4.03003445;5.018840674;2.775601139;3.887354267;3.757343946;4.150602619;3.901165659;3.852575901;3.868414274;4.926595519;4.772467045;3.976031795;3.858335207;3.12487596;2.961782524;3.107524331;1.872970432;2.824431613;4.053274115
